Name,Time,Casualties
Sino Burmese War,1765-69,70000
Mozambican War of Independence,1964-1974,"63,500–88,500"
Ituri conflict,1999-2007,60000
Sierra Leone Civil War,1991-2002,"50,000-300,000"
War in Afghanistan,2001-present,"47,246–61,603"
War in North West Pakistan,2004-present,"45,852–78,946"
Kurdish Turkish conflict,1978-present,45000
Civil War,1991-2002,"44,000-150,000"
Nagorno Karabakh War,1988-1994,38000
Wars of the Roses,1455-1487,"35,000–50,000"
Iranian Kurdish conflict,1918-present,34000
Ethnic conflict in Nagaland,1954-present,34000
Soviet Japanese War,1945,"33,420–95,768"
1991 uprisings in Iraq,1991,"30,000-185,000"
CPP NPA NDF rebellion,1969-present,"30,000–43,000"
Greco Italian War,1940-1941,27080
Gulf War,1990-1991,"25,456-40,456"
Insurgency in Northeast India,1964-present,25000
Shia insurgency in Yemen,2004-present,25000
War of 1812,1812-1815,21741
Ragamuffin War,1835-1845,20000
Rhodesian Bush War,1964-1979,19619
First Opium War,1839-1842,"18,069–20,069"
1940 44 insurgency in Chechnya,1940-1944,17294
First Anglo Afghan War,1839-1842,17200
Balochistan conflict,1948-present,"16,765–17,065"
Croatian War of Independence,1991-1995,"16,752–21,426"
War of the Pacific,1879-1883,16000
Nepalese Civil War,1996-2006,16000
Peasants' War,1798,"15,200-15,300"
Nigerian Sharia conflict,1953-present,15000
African Border War,1966-1990,"14,460-14,922"
Mau Uprising,1952-1960,"14,077-22,077"
Republic of the Congo Civil War,1997-1999,13929
Naxalite Maoist insurgency,1967-present,13812
Kurdish separatism in Iran,1922-present,"13,100–35,000"
Irish Rebellion of 1798,1798,"11,500-53,000"
1948 Palestine war,1947-1949,"10,523-21,523"
Malayan Emergency,1948-1960,10000
War in Donbass,2014-present,10000
Rwandan Civil War,1990-1993,10000
Libyan Civil War,2011,9400
Iraqi insurgency,post-U.S.-withdrawal,8136
Yemeni Civil War,2015-present,"7,400-16,200"
Chadian Civil War,2005-10,7000
Sudanese nomadic conflicts,2009-present,5641
South Thailand insurgency,2004-present,6543
Casamance conflict,1982-2014,5000
Chilean Civil War of 1891,1891,5000
Libyan Civil War,2014-present,4715
Conflict in the Niger Delta,2004-present,"4,000–10,000"
Al Qaeda insurgency in Yemen,1992-present,3699
The Northern Ireland Troubles,1966-1998,3529
Insurgency in the North Caucasus,2009-present,3366
Hungarian Revolution of 1956,1956,"3,222-3,722"
1947 48 Civil War in Mandatory Palestine part of the 1948 Palestine war,,3114
War of the Golden Stool,1900,3007
Negro Rebellion,1912,"3,000–6,000"
Second Ivorian Civil War,2010-2011,3000
Iranian Revolution,1978-1979,2781
Third Anglo Afghan War,1919,2751
Sudan internal conflict,2011-present,2557
Sinai insurgency,2011-present,2394
Conflict in the Niger Delta,2004-present,2300
Israel Gaza conflict,2014,"2,221-2,406"
Persian Expedition of 1796,1796,2150
Aden Emergency,1963-1967,2096
Costa Rican Civil War,1948,2000
Six Day War,2000,2000
South Kyrgyzstan ethnic clashes,2010,2000
Anglo Iraqi War,1941,1810
Lapland War,1944-1945,1774
War of Transnistria,1992,"1,643–2,237"
South Yemen insurgency,2009-present,1554
M23 rebellion,2012-2013,1449
Allied Democratic Forces insurgency,1996-present,1300
Basque conflict,1959-2011,1229
Kargil War,1999,"1,227–5,600"
"Political violence in Egypt, 2013",2013-present,1119
Cabinda conflict,1994-present,"1,000–1,500"
Djiboutian Civil War,1991-1994,1000
1991 92 South Ossetia War,1991-1992,1000
Falklands War,1982,907
2011 Egyptian revolution,2011,846
Syrian Civil War spillover in Lebanon,2011-Present,820
Sino Russian border conflicts,1652-1689,808
"Conflict in Najran, Jizan and Asir",2015-present,803-1303
Indonesia Malaysia confrontation,1963-1966,740
Burundian unrest,2015-present,730
Anglo Aro War,1901-1902,700-800
Russia Georgia war,2008,"659–2,496"
Cyprus crisis,1955-64,547
"1,500 144]   Sudanese conflict in South Kordofan and Blue Nile",2011-present,643
East Prigorodny Conflict,1992,542
Franco Thai War,1940-1941,422
M23 rebellion,2012-present,391
RENAMO insurgency,2013-2014-2015-present,328
Turkey ISIL conflict,2015-present,307
Arab separatism in Khuzestan,1922-present,200–339
1935 Yazidi revolt,1935,200
United States occupation of Veracruz,1914,174–194
Kasaï Central clashes,2016-present,164
ISIL insurgency in Tunisia,2015-present,159
Dissident Irish Republican campaign,1998-present,158
2016 Kasese clashes,2016,100
2013 Guinea clashes,2013,95
Lahad Datu standoff,2013,84–134
Quasi War,1798-1800,82
North West Rebellion,1885,82
Paraguayan People's Army insurgency,2005-present,71
Ten Day War,1991,63
DHKP/C insurgency in Turkey,1990-present,36
2016 Niger Delta conflict,2016-Present,15
