Aircraft Type,Aircraft Subtype,Aircraft Name,Year in Service,Country of Origin,Operator(s) if different from country of origin
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Mikoyan-Gurevich MiG-1,1940,USSR,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Mikoyan-Gurevich MiG-3,1941,USSR,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Mitsubishi A5M carrier fighter[notes 4],1936,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Mitsubishi A6M Zero carrier fighter,1940,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Mitsubishi J2M interceptor,1942,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Morane-Saulnier M.S.406,1939,France,"France, Croatia, Finland, Italy, Poland"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Nakajima A6M2-N floatplane fighter,1942,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Nakajima Ki-27,1937,Japan,"Japan, Manchukuo, Thailand"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Nakajima Ki-43,1941,Japan,"Japan, Manchukuo, Thailand"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Nakajima Ki-44,1942,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Nakajima Ki-84,1943,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",North American P-51 Mustang,1942,US,"US, UK, Australia, Canada, China, France, South Africa, USSR"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",North American P-64[notes 5],1940,US,"Peru, US"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Polikarpov I-16,1934,USSR,"USSR, China, Finland"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",PZL P.7,1933,Poland,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",PZL P.11,1934,Poland,"Poland, Romania"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",PZL P.24,1936,Poland,"Poland, Bulgaria, Greece, Romania"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Reggiane Re.2000,1940,Italy,"Sweden, Hungary, Italy"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Reggiane Re.2001,1941,Italy,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Reggiane Re.2005,1943,Italy,"Italy, Germany"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Republic P-43 Lancer,1941,US,"US, Australia, China"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Republic P-47 Thunderbolt,1942,US,"US, UK, Brazil, Mexico, France, USSR"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Rogožarski IK-3,1940,Yugoslavia,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Seversky P-35,1937,US,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Supermarine Seafire carrier fighter,1942,UK,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Supermarine Spitfire,1938,UK,"UK, Australia, Canada, France, India, Italy, New Zealand, Norway, South Africa, US, USSR"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",VL Myrsky,1943,Finland,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Vought F4U/FG Corsair carrier fighter,1942,US,"US, UK, New Zealand"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Vultee P-66 Vanguard,1941,US,"US, China"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Yakovlev Yak-1,1940,USSR,"USSR, France"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Yakovlev Yak-3,1944,USSR,"USSR, France"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Yakovlev Yak-7/Yak-7B,1942,USSR,"USSR, France"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Yakovlev Yak-9,1942,USSR,"USSR, France"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,,,,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Bell YFM-1 Airacuda[1] flying cruiser,1940,US,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Blackburn Roc turret fighter,1939,UK,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Blackburn Skua fighter/dive bomber,1938,UK,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Boulton Paul Defiant turret fighter,1939,UK,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Bristol Beaufighter,1940,UK,"UK, Australia, South Africa, US"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Bristol Blenheim night fighter,1937,UK,Canada
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,de Havilland Mosquito night fighter/fighter bomber,1941,UK,"UK, Canada, New Zealand, Australia, US"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Dornier Do 215 night fighter,1939,Germany,"Germany, Hungary"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Dornier Do 217 night fighter,1941,Germany,"Germany, Italy"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Dornier Do 335,1944,Germany,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Douglas P-70 Havoc night fighter,1941,US,"US, UK"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Fairey Firefly fleet fighter/dive bomber,1941,UK,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Fairey Fulmar fleet fighter,1940,UK,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Focke-Wulf Ta 154 night fighter,1944,Germany,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Fokker G.I,1939,Netherlands,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Grumman F7F Tigercat carrier night fighter,1944,US,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Heinkel He 219 night fighter,1943,Germany,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,IMAM Ro.57,1943,Italy,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Junkers Ju 88 night fighter,1940,Germany,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Junkers Ju 388 night fighter,1944,Germany,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Kawasaki Ki-45 night fighter,1942,Japan,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Kawasaki Ki-102 twin-engine fighter,1945,Japan,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Lockheed P-38 Lightning,1941,US,"US, Australia, China"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Messerschmitt Bf 110,1937,Germany,"Croatia, Hungary, Italy, Iraq, Romania"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Messerschmitt Me 210,1943,Germany,"Germany, Hungary"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Messerschmitt Me 410,1943,Germany,Germany
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Mitsubishi Ki-109 bomber interceptor,1945,Japan,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Nakajima J1N night fighter/interceptor,1942,Japan,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Northrop P-61 Black Widow night fighter,1944,US,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Petlyakov Pe-3,1941,USSR,"USSR, Finland"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Potez 630,1938,France,"France, Greece, Romania"
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Westland Welkin high altitude interceptor,1944,UK,
Fighter aircraft,Heavy fighters (multi-engined or multi-seat) and night fighters,Westland Whirlwind,1940,UK,
Fighter aircraft,Jet- and rocket- propelled fighters,Bell P-59 Airacomet,1944,US,
Fighter aircraft,Jet- and rocket- propelled fighters,Gloster Meteor,1944,UK,
Fighter aircraft,Jet- and rocket- propelled fighters,Heinkel He 162,1945,Germany,
Fighter aircraft,Jet- and rocket- propelled fighters,Lockheed P-80 Shooting Star,1945,US,
Fighter aircraft,Jet- and rocket- propelled fighters,Messerschmitt Me 163 rocket interceptor,1944,Germany,
Fighter aircraft,Jet- and rocket- propelled fighters,Messerschmitt Me 262,1944,Germany,
Fighter aircraft,Jet- and rocket- propelled fighters,Ryan FR Fireball mixed power carrier fighter,1945,US,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Avro Lancaster,1942,UK,"UK, Canada, Australia"
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Avro Manchester[notes 6],1940,UK,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Blohm & Voss BV 142 maritime patrol[2],1940,Germany,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Boeing B-17 Flying Fortress,1940,US,"US, Canada, UK"
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Boeing B-29 Superfortress,1944,US,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Consolidated B-24/LB-30/PB4Y-1 Liberator,1940,US,"US, Australia, Canada, UK"
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Consolidated B-32 Dominator,1942,US,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Consolidated PB4Y-2 Privateer maritime patrol,1943,US,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Farman F.221-223,1936,France,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Focke-Wulf Fw 200 maritime patrol,1940,Germany,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Handley Page Halifax,1940,UK,"UK, Australia, Canada, France"
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Heinkel He 177,1943,Germany,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Petlyakov Pe-8,1940,USSR,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Piaggio P.108,1942,Italy,"Italy, Germany[3]"
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Short Stirling,1940,UK,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Tupolev TB-3,1932,USSR,
Bomber and Attack aircraft,Heavy bombers and maritime patrol,Vickers Warwick,1942,UK,"UK, Polish exile, South Africa"
Bomber and Attack aircraft,Medium bombers,Amiot 143,1936,France,
Bomber and Attack aircraft,Medium bombers,Amiot 354,1940,France,"France, Germany"
Bomber and Attack aircraft,Medium bombers,Arado Ar 234 jet bomber,1944,Germany,
Bomber and Attack aircraft,Medium bombers,Arkhangelsky Ar-2,1940,USSR,
Bomber and Attack aircraft,Medium bombers,Armstrong Whitworth Whitley,1937,UK,
Bomber and Attack aircraft,Medium bombers,Avia F.39,1932,Czechoslovakia,
Bomber and Attack aircraft,Medium bombers,Avro Anson,1936,UK,"UK, Canada, Finland, Greece, Iraq"
Bomber and Attack aircraft,Medium bombers,Blackburn Botha,1939,UK,
Bomber and Attack aircraft,Medium bombers,Bloch MB.131,1938,France,
Bomber and Attack aircraft,Medium bombers,Bloch MB.170,1940,France,
Bomber and Attack aircraft,Medium bombers,Bloch MB.200,1935,France,"France, Bulgaria, Czechoslovakia, Germany"
Bomber and Attack aircraft,Medium bombers,Bloch MB.210,1937,France,
Bomber and Attack aircraft,Medium bombers,Breda Ba.88,1938,Italy,
Bomber and Attack aircraft,Medium bombers,Bristol Beaufort,1940,UK,"UK, Australia, Canada, New Zealand, South Africa"
Bomber and Attack aircraft,Medium bombers,Bristol Blenheim/Bolingbroke/Bisley[4],1937,UK,"UK, Canada, Finland, Greece, France, Yugoslavia"
Bomber and Attack aircraft,Medium bombers,Bristol Bombay bomber/transport,1939,UK,
Bomber and Attack aircraft,Medium bombers,CANT Z.1007,1938,Italy,
Bomber and Attack aircraft,Medium bombers,Caproni Ca.135,1937,Italy,"Italy, Hungary"
Bomber and Attack aircraft,Medium bombers,Caproni Ca.309,1937,Italy,"Italy, Bulgaria, Hungary"
Bomber and Attack aircraft,Medium bombers,Caproni Ca.310-Ca.314,1938,Italy,"Italy, Croatia, France, Hungary, Norway, Germany, Yugoslavia"
Bomber and Attack aircraft,Medium bombers,Curtiss A-18 Shrike[notes 7],1936,US,
Bomber and Attack aircraft,Medium bombers,de Havilland Mosquito[4],1941,UK,"UK, Canada, Australia, Norway"
Bomber and Attack aircraft,Medium bombers,Dornier Do 11[notes 8],1932,Germany,Bulgaria
Bomber and Attack aircraft,Medium bombers,Dornier Do 17,1937,Germany,"Germany, Bulgaria, Finland, Yugoslavia"
Bomber and Attack aircraft,Medium bombers,Dornier Do 215,1939,Germany,
Bomber and Attack aircraft,Medium bombers,Dornier Do 217,1941,Germany,"Germany, Italy"
Bomber and Attack aircraft,Medium bombers,Douglas A-20 Havoc/Boston,1941,US,"US, Australia, Brazil, Canada, France, UK, USSR"
Bomber and Attack aircraft,Medium bombers,Douglas A-26 Invader,1944,US,
Bomber and Attack aircraft,Medium bombers,Douglas B-18 Bolo/Digby[notes 9],1936,US,"US, Brazil, Canada"
Bomber and Attack aircraft,Medium bombers,Douglas B-23/UC-67 Dragon[notes 10],1939,US,
Bomber and Attack aircraft,Medium bombers,Fiat BR.20[notes 11],1938,Italy,
Bomber and Attack aircraft,Medium bombers,FMA AeMB.2,1935,Argentina,
Bomber and Attack aircraft,Medium bombers,Fokker T.V,1938,Netherlands,
Bomber and Attack aircraft,Medium bombers,Handley Page Hampden,1938,UK,"UK, Canada, USSR"
Bomber and Attack aircraft,Medium bombers,Heinkel He 111,1936,Germany,"Germany, Bulgaria, China, Hungary, Romania, Slovakia"
Bomber and Attack aircraft,Medium bombers,IAR 79,1941,Romania,
Bomber and Attack aircraft,Medium bombers,Ilyushin DB-3/Il-4,1938,USSR,"USSR, Finland"
Bomber and Attack aircraft,Medium bombers,Junkers Ju 86,1936,Germany,"Germany, South Africa"
Bomber and Attack aircraft,Medium bombers,Junkers Ju 88,1938,Germany,"Germany, Finland, Italy, Romania"
Bomber and Attack aircraft,Medium bombers,Junkers Ju 188,1943,Germany,"Germany, Hungary"
Bomber and Attack aircraft,Medium bombers,Junkers Ju 388,1944,Germany,
Bomber and Attack aircraft,Medium bombers,Kawasaki Ki-48,1940,Japan,
Bomber and Attack aircraft,Medium bombers,Keystone B-3A[notes 12],1926,US,Philippines
Bomber and Attack aircraft,Medium bombers,Kyushu Q1W maritime patrol,1945,Japan,
Bomber and Attack aircraft,Medium bombers,Lioré et Olivier LeO 451,1939,France,
Bomber and Attack aircraft,Medium bombers,Lockheed Hudson[notes 13],1939,US,"US, Brazil, Australia, Canada, New Zealand, UK"
Bomber and Attack aircraft,Medium bombers,Lockheed PV Ventura/B-34 Lexington and PV-2 Harpoon[notes 14],1942,US,"US, Australia, Brazil, Canada, New Zealand, South Africa, UK"
Bomber and Attack aircraft,Medium bombers,Martin 139 & 166 (B-10 & B-12),1934,US,"US, China, Netherlands, Philippines, Thailand"
Bomber and Attack aircraft,Medium bombers,Martin B-26 Marauder,1941,US,"US, France, UK, South Africa"
Bomber and Attack aircraft,Medium bombers,Martin Baltimore,1941,US,"US, Australia France, Greece, Co-Belligerent Italy, South Africa, UK"
Bomber and Attack aircraft,Medium bombers,Martin Maryland,1939,US,"France, UK"
Bomber and Attack aircraft,Medium bombers,Mitsubishi G3M,1937,Japan,
Bomber and Attack aircraft,Medium bombers,Mitsubishi G4M,1941,Japan,
Bomber and Attack aircraft,Medium bombers,Mitsubishi Ki-21,1938,Japan,"Japan, Thailand"
Bomber and Attack aircraft,Medium bombers,Mitsubishi Ki-67,1942,Japan,
Bomber and Attack aircraft,Medium bombers,Nakajima Ki-49,1938,Japan,
Bomber and Attack aircraft,Medium bombers,North American B-25 Mitchell,1941,US,"US, Australia, Brazil, Canada, China, France, Netherlands, UK, USSR"
Bomber and Attack aircraft,Medium bombers,Petlyakov Pe-2,1941,USSR,"USSR, Finland"
Bomber and Attack aircraft,Medium bombers,Potez 540,1934,France,
Bomber and Attack aircraft,Medium bombers,PZL.37 Łoś,1938,Poland,"Poland, Romania, Germany"
Bomber and Attack aircraft,Medium bombers,Savoia-Marchetti SM.79 trimotor,1937,Italy,"Italy, Iraq, Romania, Yugoslavia, UK"
Bomber and Attack aircraft,Medium bombers,Savoia-Marchetti SM.81 trimotor,1935,Italy,
Bomber and Attack aircraft,Medium bombers,Savoia-Marchetti SM.84 trimotor,1941,Italy,
Bomber and Attack aircraft,Medium bombers,Sukhoi Su-2,1937,USSR,
Bomber and Attack aircraft,Medium bombers,Tupolev SB/Avia B.71,1934,USSR,"USSR, Bulgaria, China, Czechoslovakia, Finland"
Bomber and Attack aircraft,Medium bombers,Tupolev TB-1,1929,USSR,
Bomber and Attack aircraft,Medium bombers,Tupolev Tu-2,1944,USSR,
Bomber and Attack aircraft,Medium bombers,Vickers Type 264 Valentia bomber/transport,1934,UK,
Bomber and Attack aircraft,Medium bombers,Vickers Wellington,1938,UK,"UK, Australia, Canada"
Bomber and Attack aircraft,Medium bombers,Yermolayev Yer-2,1941,USSR,
Bomber and Attack aircraft,Medium bombers,Yokosuka P1Y,1945,Japan,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Aero A.32[notes 15],1928,Czechoslovakia,"Czechoslovakia, Finland"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Aero A.100,1933,Czechoslovakia,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Aero A.304,1937,Czechoslovakia,"Czechoslovakia, Bulgaria, Germany"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft","ANF Les Mureaux 113, 115, 117",1933,France,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Armstrong Whitworth Atlas[5],1927,UK,Canada
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Blackburn Ripon[5],1929,UK,Finland
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Blackburn Shark,1935,UK,"UK, Canada"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Boripatra,1927,Thailand,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Breda Ba.64,1937,Italy,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Breda Ba.65,1937,Italy,"Italy, Iraq"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Breguet 19,1924,France,"France, Belgium, Yugoslavia, Croatia, Poland"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Breguet 270 Series,1930,France,"France, China"
